team,elo_rating,squad_market_value_m,squad_market_value_eur,avg_goals_scored,avg_goals_conceded,form_index,squad_size,avg_squad_age,fifa_ranking,value_imputed,matches_played
Nicaragua,1328.0,2.6,2580000.0,1.0,1.4,0.21818181818181817,23.0,27.6,131.0,False,175.0
Tanzania,1325.0,,,0.6,1.3,0.0,,,,,368.0
El Salvador,1324.0,3.9,3930000.0,1.1,1.25,0.07272727272727272,20.0,24.9,100.0,False,406.0
Zanzibar,1319.0,,,1.1,1.25,0.5454545454545454,,,,,102.0
Botswana,1319.0,,,0.75,1.55,0.03636363636363636,,,,,313.0
Malaysia,1314.0,7.2,7150000.0,1.7,1.1,0.7818181818181819,28.0,28.5,138.0,False,367.0
Kyrgyzstan,1313.0,7.6,7580000.0,1.25,1.45,0.18181818181818182,32.0,25.5,107.0,False,187.0
Namibia,1311.0,,,0.5,1.55,0.12727272727272726,,,,,278.0
Mauritania,1310.0,,,0.45,1.15,0.07272727272727272,,,,,196.0
Rwanda,1310.0,,,0.75,1.05,0.32727272727272727,,,,,270.0
Cyprus,1302.0,19.1,19100000.0,1.25,1.9,0.12727272727272726,26.0,25.8,126.0,False,309.0
Liberia,1299.0,,,0.95,1.3,0.21818181818181817,,,,,199.0
Tajikistan,1297.0,7.8,7780000.0,1.2,1.15,0.7090909090909091,25.0,25.8,103.0,False,199.0
New Caledonia,1295.0,,,2.1,1.25,0.6363636363636364,,,,,152.0
Dominican Republic,1294.0,18.0,18030001.0,2.45,1.1,0.18181818181818182,23.0,24.3,143.0,False,150.0
Swaziland,1286.0,,,,,,,,,,
Latvia,1286.0,17.7,17680000.0,0.55,1.5,0.03636363636363636,27.0,26.9,137.0,False,351.0
Malta,1279.0,14.4,14350000.0,0.7,1.95,0.3090909090909091,27.0,27.6,161.0,False,336.0
Lithuania,1276.0,18.5,18549999.0,0.8,1.6,0.18181818181818182,23.0,27.2,148.0,False,343.0
Guyana,1275.0,,,2.1,1.65,0.7818181818181819,,,,,184.0
Ethiopia,1264.0,2.8,2780000.0,0.8,1.35,0.4,23.0,27.5,144.0,False,251.0
Malawi,1252.0,,,1.0,1.15,0.43636363636363634,,,,,375.0
Guinea-Bissau,1244.0,,,0.6,1.5,0.12727272727272726,,,,,139.0
Central African Republic,1238.0,,,1.25,2.05,0.12727272727272726,,,,,103.0
Burundi,1238.0,,,1.05,1.55,0.2,,,,,200.0
Cuba,1230.0,,,1.2,1.95,0.36363636363636365,,,,,276.0
French Guiana,1221.0,,,1.45,1.3,0.18181818181818182,,,,,136.0
Turkmenistan,1217.0,,,1.0,1.55,0.5272727272727272,,,,,175.0
Mayotte,1216.0,,,1.2,1.05,0.4727272727272727,,,,,38.0
Lesotho,1215.0,,,0.65,1.45,0.2727272727272727,,,,,263.0
Eswatini,1210.0,,,0.7,1.65,0.0,,,,,253.0
Congo,1206.0,,,0.9,2.2,0.05454545454545454,,,,,236.0
Tahiti,1178.0,,,2.1,1.2,0.5818181818181818,,,,,144.0
Saint Vincent and the Grenadines,1174.0,,,2.05,1.25,0.5272727272727272,,,,,173.0
Philippines,1155.0,6.2,6180000.0,1.45,1.6,0.6363636363636364,23.0,27.8,135.0,False,246.0
Yemen,1150.0,,,1.75,1.25,0.6181818181818182,,,,,232.0
Eritrea,1141.0,,,0.9,2.1,0.0,,,,,71.0
Papua New Guinea,1136.0,,,1.35,1.65,0.6545454545454545,,,,,103.0
Hong Kong,1136.0,3.6,3600000.0,2.05,0.75,0.41818181818181815,23.0,28.5,155.0,False,250.0
Puerto Rico,1134.0,1.2,1180000.0,1.95,1.75,0.38181818181818183,24.0,23.3,156.0,False,121.0
South Sudan,1133.0,,,0.55,1.8,0.05454545454545454,,,,,78.0
Singapore,1131.0,3.9,3930000.0,1.35,2.0,0.32727272727272727,27.0,27.7,147.0,False,378.0
India,1123.0,4.8,4800000.0,0.5,1.25,0.09090909090909091,23.0,28.7,136.0,False,298.0
Grenada,1122.0,,,1.4,1.8,0.5454545454545454,,,,,200.0
Bermuda,1121.0,,,1.7,2.8,0.12727272727272726,,,,,158.0
Chad,1119.0,,,0.5,1.7,0.0,,,,,109.0
Vanuatu,1114.0,,,1.35,2.15,0.41818181818181815,,,,,150.0
Fiji,1109.0,2.4,2450000.0,1.8,1.9,0.12727272727272726,26.0,28.2,154.0,False,177.0
Belize,1103.0,,,1.5,1.8,0.36363636363636365,,,,,120.0
Solomon Islands,1091.0,,,1.65,1.9,0.16363636363636364,,,,,176.0
Mauritius,1090.0,,,0.7,1.35,0.03636363636363636,,,,,218.0
Andorra,1083.0,3.4,3380000.0,0.25,1.75,0.0,26.0,29.2,173.0,False,226.0
Sao Tome and Principe,1055.0,,,,,,,,,,
Afghanistan,1033.0,,,0.65,1.85,0.03636363636363636,,,,,123.0
Gibraltar,1017.0,1.2,1200000.0,0.45,1.95,0.0,23.0,23.6,203.0,False,157.0
Saint Lucia,1008.0,,,1.35,2.0,0.2545454545454545,,,,,183.0
Saint Kitts and Nevis,1005.0,,,1.7,2.05,0.2727272727272727,,,,,213.0
Saint Martin,1004.0,,,1.95,1.65,0.4727272727272727,,,,,68.0
Somaliland,1002.0,,,2.4,2.8,,,,,,6.0
Western Sahara,996.0,,,,,,,,,,5.0
Montserrat,971.0,,,1.05,2.1,0.3090909090909091,,,,,66.0
Somalia,961.0,,,0.5,2.1,0.18181818181818182,,,,,86.0
Sint Maarten,957.0,,,1.45,2.5,0.6,,,,,57.0
Aruba,949.0,,,1.55,1.85,0.43636363636363634,,,,,94.0
Greenland,946.0,,,2.3,1.55,0.36363636363636365,,,,,66.0
Myanmar,944.0,3.1,3100000.0,1.15,2.55,0.36363636363636365,23.0,25.9,158.0,False,256.0
Bangladesh,940.0,7.7,7740000.0,0.85,1.7,0.2909090909090909,23.0,25.8,181.0,False,229.0
Dominica,940.0,,,1.15,2.2,0.10909090909090909,,,,,149.0
Barbados,921.0,,,1.7,2.7,0.16363636363636364,,,,,217.0
Nepal,917.0,,,0.55,1.8,0.09090909090909091,,,,,212.0
Djibouti,915.0,,,0.8,2.8,0.0,,,,,95.0
Monaco,903.0,,,1.85,4.0,0.41818181818181815,,,,,24.0
Liechtenstein,900.0,,,0.35,2.45,0.18181818181818182,,,,,251.0
Antigua and Barbuda,895.0,,,0.7,2.45,0.0,,,,,199.0
Taiwan,866.0,,,1.35,2.45,0.12727272727272726,,,,,142.0
Cambodia,846.0,2.4,2380000.0,1.2,1.6,0.14545454545454545,23.0,25.6,177.0,False,204.0
Maldives,841.0,,,1.05,1.65,0.14545454545454545,,,,,217.0
Seychelles,841.0,,,0.3,3.2,0.0,,,,,153.0
San Marino,833.0,1.0,995000.0,0.5,2.95,0.0,24.0,24.9,211.0,False,223.0
Pakistan,828.0,,,0.2,2.4,0.0,,,,,153.0
Bonaire,822.0,,,1.25,1.85,0.2545454545454545,,,,,43.0
